,Epoch,Loss
0,1.0,1.5953328609466553
1,2.0,1.0333025455474854
2,3.0,0.8147051334381104
3,4.0,0.6581027507781982
4,5.0,0.5328298211097717
5,6.0,0.42860478162765503
6,7.0,0.34231826663017273
7,8.0,0.2725997865200043
8,9.0,0.2180882841348648
9,10.0,0.1767449975013733
10,11.0,0.14607451856136322
11,12.0,0.12318684160709381
12,13.0,0.10764020681381226
13,14.0,0.09619884938001633
14,15.0,0.08857033401727676
15,16.0,0.08332857489585876
16,17.0,0.0800585076212883
17,18.0,0.07760274410247803
18,19.0,0.07538264244794846
19,20.0,0.07333486527204514
